,0.2
2013-05-21,0.9969072164948454
2013-05-22,0.9989313935841749
2013-05-23,0.9968823035460536
2013-05-24,0.9968823035460536
2013-05-28,0.9978943667983846
2013-05-29,0.9978943667983846
2013-05-30,0.9973852370194058
2013-05-31,0.9943397859140031
2013-06-03,0.9923461221828471
2013-06-04,0.9923461221828471
2013-06-05,0.9898837248573313
2013-06-06,0.9903689619773595
2013-06-07,0.9923156331556934
2013-06-10,0.9942854904919827
2013-06-11,0.9893016033215968
2013-06-12,0.9844639426696574
2013-06-13,0.988223232188205
2013-06-14,0.9834143600121067
2013-06-17,0.9843487204491728
2013-06-18,0.9843487204491728
2013-06-19,0.9838788642580276
2013-06-20,0.978725213064295
2013-06-21,0.9791793778963435
2013-06-24,0.9746250552084536
2013-06-25,0.9746250552084536
2013-06-26,0.9741820438197224
2013-06-27,0.9772746852286739
2013-06-28,0.9772746852286739
2013-07-01,0.97952647021768
2013-07-02,0.9781565031264665
2013-07-03,0.9781565031264665
2013-07-05,0.981779304989898
2013-07-08,0.9877996497846473
2013-07-09,0.9892416930690043
2013-07-10,0.992636149858947
2013-07-11,0.9951115517289194
2013-07-12,0.9941063885453548
2013-07-15,0.9981027961374971
2013-07-16,0.992472472672106
2013-07-17,0.9959374638485174
2013-07-18,0.9969485678727292
2013-07-19,0.9979658623297424
2013-07-22,0.9995011944256342
2013-07-23,1.0010508086805576
2013-07-24,1.0010508086805576
2013-07-25,1.003136331198642
2013-07-26,1.0041922641788512
2013-07-29,1.0047235828371468
2013-07-30,1.0063226124119538
2013-07-31,1.010089595453068
2013-08-01,1.012841883179098
2013-08-02,1.0156397889337363
2013-08-05,1.0179157324383497
2013-08-06,1.0138786728762712
2013-08-07,1.0138786728762712
2013-08-08,1.0150052047350226
2013-08-09,1.0127370366797488
2013-08-12,1.013296559904434
2013-08-13,1.0110510273617095
2013-08-14,1.0088350251099578
2013-08-15,1.003913878646007
2013-08-16,1.0055073927390958
2013-08-19,1.0038985809107133
2013-08-20,1.0065543972623288
2013-08-21,1.0065543972623288
2013-08-22,1.0124911792300957
2013-08-23,1.0136099540137753
2013-08-26,1.0091050208848251
2013-08-27,0.9986849146909057
2013-08-28,0.9986849146909057
2013-08-29,0.997652682220941
2013-08-30,0.9961138863100603
2013-09-03,1.0006878786451576
2013-09-04,1.0017329834792519
2013-09-05,1.0017329834792519
2013-09-06,1.001207139393436
2013-09-09,1.0064490615892132
2013-09-10,1.010777874757339
2013-09-11,1.0146654819679441
2013-09-12,1.0140970419220237
2013-09-13,1.0140970419220237
2013-09-16,1.0163631805631903
2013-09-17,1.018085830021772
2013-09-18,1.0227266771101906
2013-09-19,1.0215339929386336
2013-09-20,1.0167964439858748
2013-09-23,1.0150681780754172
2013-09-24,1.016778967139589
2013-09-25,1.0162028884046659
2013-09-26,1.0190735180329276
2013-09-27,1.0161535366058991
2013-09-30,1.012134850302938
2013-10-01,1.0166207665369675
2013-10-02,1.012588842816991
2013-10-03,1.008650997317147
2013-10-04,1.0113993651572482
2013-10-07,1.0030176024625748
2013-10-08,0.9955681348580782
2013-10-09,0.9970958608962236
2013-10-10,1.0094310674227747
2013-10-11,1.0149773919690537
2013-10-14,1.0126836577499145
2013-10-15,1.0081576972683506
2013-10-16,1.0175230966418818
2013-10-17,1.0239372823513722
2013-10-18,1.0281784426924727
2013-10-21,1.0269359309792492
2013-10-22,1.0257023743054001
