Asset,port,port,port,port,port,SP500,SP500,SP500,SP500,SP500,LongTermBond,LongTermBond,LongTermBond,LongTermBond,LongTermBond
Statistic,Total Return,Annual Avg. Return,Max Drawdown,Std Dev,Sharpe Ratio,Total Return,Annual Avg. Return,Max Drawdown,Std Dev,Sharpe Ratio,Total Return,Annual Avg. Return,Max Drawdown,Std Dev,Sharpe Ratio
2005,0.04100693654503873,0.041617230385422754,-0.06683483553459613,0.006083249199990034,0.46594297162059484,0.038441771509652556,0.03901317775279889,-0.07166354179346157,0.006469784937489057,0.41991277481112793,0.08366251932984792,0.08493301274044218,-0.07124501536360717,0.005875052946023342,0.9115302385278358
2006,0.1285703966428713,0.13056281482912113,-0.0714033812306657,0.005988423100926377,1.3250006775311491,0.13619431738296384,0.13831195441559396,-0.07698985307153383,0.006315307962354043,1.3289043585136697,0.007084171526461125,0.00718785277271472,-0.09260516613831316,0.004635467296252361,0.13296751979209653
2007,0.0388654888440958,0.03922117471426878,-0.09148403302347197,0.009413128311323113,0.3308238339812306,0.03529573066388059,0.03561819005647737,-0.10090409944575729,0.010070010029003146,0.2977168887253393,0.10304173422211638,0.10401336463256916,-0.07902159000752151,0.006176228080575102,1.0532431708391938
2008,-0.3443301833939948,-0.3452798962988537,-0.4439668102754253,0.023124842590823307,-0.9614705825085571,-0.3848579306092512,-0.38588351283849864,-0.4800575025088003,0.025810721415950994,-0.9759345885412144,0.3395191845570298,0.3408644882106091,-0.07494636870468441,0.010762962946773714,1.7897191299740591
2009,0.18280854173774275,0.18404007357933394,-0.25550398271123564,0.015007967060069214,0.8235211264057839,0.23454190488347604,0.2361552594943035,-0.27620624750010736,0.01718794405046552,0.908318389819353,-0.21806296652356272,-0.21925425875485327,-0.23083438498004638,0.011694582717873504,-1.2318152121557258
2010,0.12497832990627433,0.12653909911347783,-0.1395291457668838,0.009995292897281537,0.8214444384511158,0.127827138537147,0.12942548824174893,-0.15994677274007552,0.01137153335379697,0.756512786918187,0.09012600068681809,0.09123404226819853,-0.15106101101011427,0.010133757382657519,0.6166352587094627
2011,0.024866890983786805,0.02516329823738217,-0.15715260205483084,0.012581297000869567,0.22283129926229153,-3.183666353767656e-05,-3.221146586684931e-05,-0.19388242072365924,0.014661061174975102,0.11629221637171616,0.3400126946159707,0.3446378972607149,-0.109118364526127,0.012734711104918127,1.5491363987585582
2012,0.12352932729937138,0.12434075436701408,-0.07880409729708349,0.006810378878774306,1.1400296142870003,0.13405690926595515,0.1349415471028672,-0.09936294686455938,0.008042593016826374,1.0570085946464551,0.02409410111692356,0.024245240742554186,-0.10107083386927529,0.00895071464926883,0.23974615456766982
2013,0.2585038507994786,0.2602986814906776,-0.058780689668300856,0.006343681965207547,2.334416774953079,0.29601249573377597,0.2980971001001731,-0.057555936155154974,0.006972700970629063,2.3989080520414863,-0.13381393154378896,-0.13458486360699606,-0.17048651649271052,0.008283327966523488,-1.0264761114123275
2014,0.12346290301817575,0.12427387010751789,-0.0646899301535705,0.006497984648560992,1.1802866879374636,0.11390633786735282,0.11465138332169578,-0.07401459520034503,0.007162776042261607,1.0056213971299521,0.2730197973889128,0.27492595424219424,-0.05033791922519215,0.006688401078738037,2.3275000054999144
2015,-0.007989445132764783,-0.008038766907717765,-0.11312499929681041,0.008848470683553345,0.012938211846584613,-0.007265997206066133,-0.0073108693469581265,-0.12352525063728492,0.009760138152263608,0.030193018169569246,-0.017896062907546306,-0.01800598422140076,-0.15809563903614932,0.009835198411471265,-0.03780790526894189
2016,0.08971522710948454,0.0908180111969008,-0.07930996855534611,0.007435345920039593,0.7868982457894416,0.09535022667296889,0.09652529392263687,-0.09303767448826994,0.008249051246437546,0.7609502173787203,0.011716509438368217,0.011855260628468756,-0.17883222101016205,0.008143232889168267,0.15462997500285103
2017,0.18779570253515243,0.1907805531951936,-0.024208438587504877,0.0038499461014105474,2.85858428116692,0.1941996552329348,0.19729447987508908,-0.027967917184963054,0.0042115721564662525,2.6994112827680103,0.09182562251843285,0.09322532555824448,-0.05106904933195644,0.006123242324902064,0.9559513304679812
2018,-0.059712993867609976,-0.060071769957643406,-0.18569952989440242,0.010066829185474349,-0.30691390789427303,-0.06237259849634391,-0.06274681517799219,-0.19778210435690535,0.010741470926534864,-0.2939308630561004,-0.016118817068836666,-0.016217912523984634,-0.09185088640093242,0.005839591431905265,-0.12982556554777228
2019,0.27990040853709663,0.28185969628985874,-0.06080626114350274,0.0072021711618678935,2.216586813801221,0.2887807022517641,0.2908089034632191,-0.06836108044669653,0.007856660559495634,2.097390757835895,0.14118446907784832,0.14211901993769582,-0.08239959485395676,0.007517597161963249,1.166381579327233
